filters,kernel,reg_type,l1_value,l2_value,mapes_train,mapes_test
16,14,l1_l2,0.01,0.0,"{'Prévision globale': {'avg_mape': 8.298464738696563, 'max_mape': 1467.1553548177083}}","{'Prévision globale': {'avg_mape': 8.563368224227652, 'max_mape': 27.256803205336805}, 'Prévision journalière': {'avg_mape': 9.038995076419724, 'max_mape': 21.604584576017597}, 'Prévision hebdomadaire': {'avg_mape': 56.300841426399394, 'max_mape': 100.0}}"
16,14,l1_l2,0.01,0.1,"{'Prévision globale': {'avg_mape': 8.993922516811752, 'max_mape': 1035.5299207899304}}","{'Prévision globale': {'avg_mape': 9.36610976154234, 'max_mape': 23.931010277535574}, 'Prévision journalière': {'avg_mape': 13.980033969821207, 'max_mape': 29.509439856998227}, 'Prévision hebdomadaire': {'avg_mape': 55.85204513357587, 'max_mape': 100.0}}"
16,14,l1_l2,0.01,0.01,"{'Prévision globale': {'avg_mape': 6.166620239950567, 'max_mape': 1499.4837782118057}}","{'Prévision globale': {'avg_mape': 11.052799782192864, 'max_mape': 33.26320136541248}, 'Prévision journalière': {'avg_mape': 12.189407176949782, 'max_mape': 25.01436799790781}, 'Prévision hebdomadaire': {'avg_mape': 55.63230924427087, 'max_mape': 100.0}}"
16,14,l1_l2,0.01,0.001,"{'Prévision globale': {'avg_mape': 8.85115939687007, 'max_mape': 231.8090565999349}}","{'Prévision globale': {'avg_mape': 15.774301626111614, 'max_mape': 39.53335344087597}, 'Prévision journalière': {'avg_mape': 16.3235750754595, 'max_mape': 29.752709619862323}, 'Prévision hebdomadaire': {'avg_mape': 57.58076659724461, 'max_mape': 100.0}}"
16,14,l1_l2,0.01,0.0001,"{'Prévision globale': {'avg_mape': 6.091403671471564, 'max_mape': 247.23189043076655}}","{'Prévision globale': {'avg_mape': 9.755744470155417, 'max_mape': 27.149482669396534}, 'Prévision journalière': {'avg_mape': 14.691904870760677, 'max_mape': 31.54525865453061}, 'Prévision hebdomadaire': {'avg_mape': 59.61297011855339, 'max_mape': 100.0}}"
16,14,l1_l2,0.001,0.0,"{'Prévision globale': {'avg_mape': 5.725236042062344, 'max_mape': 836.6959635416666}}","{'Prévision globale': {'avg_mape': 10.51049464029416, 'max_mape': 21.599534320915225}, 'Prévision journalière': {'avg_mape': 11.95807154980672, 'max_mape': 31.02143678924546}, 'Prévision hebdomadaire': {'avg_mape': 58.39300734242651, 'max_mape': 100.0}}"
16,14,l1_l2,0.001,0.1,"{'Prévision globale': {'avg_mape': 6.428634451991846, 'max_mape': 1077.498779296875}}","{'Prévision globale': {'avg_mape': 8.590945418626266, 'max_mape': 24.412081677788997}, 'Prévision journalière': {'avg_mape': 14.80767368454698, 'max_mape': 43.831482366116624}, 'Prévision hebdomadaire': {'avg_mape': 63.87940137839236, 'max_mape': 100.0}}"
16,14,l1_l2,0.001,0.01,"{'Prévision globale': {'avg_mape': 6.417610907645977, 'max_mape': 1734.5674641927083}}","{'Prévision globale': {'avg_mape': 6.864141064049631, 'max_mape': 20.638232691994794}, 'Prévision journalière': {'avg_mape': 15.089812352168575, 'max_mape': 31.072377012498954}, 'Prévision hebdomadaire': {'avg_mape': 54.381628704473826, 'max_mape': 100.0}}"
16,14,l1_l2,0.001,0.001,"{'Prévision globale': {'avg_mape': 6.719602512362403, 'max_mape': 1411.7247178819443}}","{'Prévision globale': {'avg_mape': 7.873727428688566, 'max_mape': 17.121472592966587}, 'Prévision journalière': {'avg_mape': 11.714752591103835, 'max_mape': 26.782085488024453}, 'Prévision hebdomadaire': {'avg_mape': 56.296978380322415, 'max_mape': 100.0}}"
16,14,l1_l2,0.001,0.0001,"{'Prévision globale': {'avg_mape': 6.114966657638903, 'max_mape': 1345.020480685764}}","{'Prévision globale': {'avg_mape': 10.387857620283754, 'max_mape': 24.445303340381876}, 'Prévision journalière': {'avg_mape': 13.752028446641797, 'max_mape': 34.089248203077545}, 'Prévision hebdomadaire': {'avg_mape': 56.358769897691715, 'max_mape': 100.0}}"
16,14,l1_l2,0.0001,0.0,"{'Prévision globale': {'avg_mape': 6.63363429406858, 'max_mape': 1701.103244357639}}","{'Prévision globale': {'avg_mape': 6.0692110018136525, 'max_mape': 16.868214873268975}, 'Prévision journalière': {'avg_mape': 14.806840208090069, 'max_mape': 41.000235424259294}, 'Prévision hebdomadaire': {'avg_mape': 59.538125553690634, 'max_mape': 100.0}}"
16,14,l1_l2,0.0001,0.1,"{'Prévision globale': {'avg_mape': 6.326351080270214, 'max_mape': 978.5590277777778}}","{'Prévision globale': {'avg_mape': 5.419553691344822, 'max_mape': 20.71273442079809}, 'Prévision journalière': {'avg_mape': 11.36544069380605, 'max_mape': 27.556851135941823}, 'Prévision hebdomadaire': {'avg_mape': 55.59395607614307, 'max_mape': 100.0}}"
16,14,l1_l2,0.0001,0.01,"{'Prévision globale': {'avg_mape': 5.640516928627115, 'max_mape': 606.5013631184896}}","{'Prévision globale': {'avg_mape': 18.416085490816307, 'max_mape': 38.09350921433903}, 'Prévision journalière': {'avg_mape': 11.286636277598777, 'max_mape': 33.814964441182426}, 'Prévision hebdomadaire': {'avg_mape': 60.80683296729295, 'max_mape': 100.0}}"
16,14,l1_l2,0.0001,0.001,"{'Prévision globale': {'avg_mape': 6.791213207812666, 'max_mape': 1774.3519422743057}}","{'Prévision globale': {'avg_mape': 10.366452026475244, 'max_mape': 28.120463831386928}, 'Prévision journalière': {'avg_mape': 13.046612353276377, 'max_mape': 30.568083464403223}, 'Prévision hebdomadaire': {'avg_mape': 56.59278700361331, 'max_mape': 100.0}}"
16,14,l1_l2,0.0001,0.0001,"{'Prévision globale': {'avg_mape': 7.885989050613273, 'max_mape': 287.68488566080725}}","{'Prévision globale': {'avg_mape': 13.937663117334461, 'max_mape': 26.37749463548755}, 'Prévision journalière': {'avg_mape': 14.594828984305462, 'max_mape': 37.09543540569953}, 'Prévision hebdomadaire': {'avg_mape': 58.43021622151565, 'max_mape': 100.0}}"
16,21,l1,0.0,,"{'Prévision globale': {'avg_mape': 5.6898246955945915, 'max_mape': 924.058091905382}}","{'Prévision globale': {'avg_mape': 9.263792193974577, 'max_mape': 29.228566646178162}, 'Prévision journalière': {'avg_mape': 15.585977033808032, 'max_mape': 39.29692904476278}, 'Prévision hebdomadaire': {'avg_mape': 59.51602065474192, 'max_mape': 100.0}}"
