date,Livraison,Suivi colis,Expédition colis,Tarif colis,Envoi colis,Livraison express,Livraison domicile,Délai livraison,Retard livraison,Service de livraison,Point relais,colis
2017-11-02,72,40,0,50,47,29,74,47,36,0,55,44
2017-11-03,78,42,38,40,37,22,79,0,63,27,53,47
2017-11-04,86,25,0,54,31,43,85,12,0,25,37,39
2017-11-05,78,13,0,55,44,22,100,23,0,0,31,23
2017-11-06,70,38,0,61,84,37,84,14,25,21,59,44
2017-11-07,77,40,0,46,63,35,69,74,55,33,69,48
2017-11-08,75,43,0,50,62,25,56,0,37,35,65,52
2017-11-09,73,43,0,52,61,31,62,54,0,18,70,51
2017-11-10,75,44,34,37,58,22,75,0,34,54,67,49
2017-11-11,83,14,50,27,38,23,90,0,0,46,50,28
2017-11-12,86,15,44,53,71,25,97,16,0,25,28,24
2017-11-13,69,49,0,49,50,36,60,67,37,14,80,53
2017-11-14,70,53,27,55,73,26,53,19,0,23,75,60
2017-11-15,72,48,0,53,64,39,49,35,48,62,69,58
2017-11-16,74,49,0,32,46,33,54,31,0,0,63,51
2017-11-17,67,51,0,33,42,24,46,0,62,0,67,53
2017-11-18,86,28,0,60,72,12,100,24,31,0,72,42
2017-11-19,82,9,100,32,63,30,66,0,79,0,38,27
2017-11-20,69,38,43,69,73,16,67,28,0,0,59,49
2017-11-21,61,42,0,51,49,34,64,33,28,0,66,52
2017-11-22,68,47,0,49,46,22,49,34,32,38,71,51
2017-11-23,80,48,0,44,66,39,61,41,46,0,74,54
2017-11-24,82,35,0,38,67,38,60,33,22,25,69,49
2017-11-25,82,23,0,38,55,0,48,41,28,0,69,39
2017-11-26,82,16,0,23,58,19,71,26,22,0,54,27
2017-11-27,69,44,42,53,81,17,43,38,46,18,70,57
2017-11-28,81,60,55,39,82,32,67,76,54,33,65,65
2017-11-29,73,54,49,65,74,38,65,44,27,0,66,63
2017-11-30,83,58,0,49,54,87,73,21,66,44,77,66
2017-12-01,88,52,0,54,49,36,79,44,73,0,68,62
2017-12-02,92,41,29,47,66,19,94,18,36,0,72,51
2017-12-03,93,17,0,42,36,60,84,68,52,61,43,32
2017-12-04,83,52,0,36,49,23,72,68,74,28,70,64
2017-12-05,89,56,0,50,64,53,72,11,93,20,68,69
2017-12-06,81,60,49,56,90,39,64,22,0,28,82,72
2017-12-07,84,62,0,46,76,27,62,63,0,36,80,69
2017-12-08,91,56,0,52,75,27,67,43,57,23,91,70
2017-12-09,96,39,29,51,58,19,82,33,50,34,69,51
2017-12-10,90,20,0,55,53,41,87,33,0,0,51,37
2017-12-11,86,70,0,52,46,36,67,43,70,43,80,75
2017-12-12,80,66,0,70,98,49,46,48,0,15,88,78
2017-12-13,88,74,0,57,99,42,57,97,100,21,91,83
2017-12-14,88,76,59,67,81,51,69,60,73,0,79,78
2017-12-15,100,72,0,44,64,50,68,65,0,30,76,82
2017-12-16,95,56,77,46,57,51,69,58,40,100,73,68
2017-12-17,97,29,0,53,98,14,87,85,35,0,52,44
2017-12-18,91,81,0,66,96,43,80,45,0,71,86,84
2017-12-19,96,96,67,38,100,53,75,19,67,18,100,96
2017-12-20,89,87,0,54,79,61,53,59,94,25,79,89
2017-12-21,97,100,0,68,53,100,55,80,50,0,90,100
2017-12-22,93,94,0,23,46,46,67,63,46,0,81,89
2017-12-23,97,68,0,100,56,38,66,22,38,26,67,73
2017-12-24,54,15,0,22,42,62,42,15,47,0,24,24
2017-12-25,62,16,0,24,54,45,42,53,31,0,24,25
2017-12-26,71,42,0,62,71,46,75,35,39,33,65,52
2017-12-27,78,49,45,41,87,43,70,100,0,0,73,54
2017-12-28,83,48,29,41,74,22,57,48,31,15,82,64
2017-12-29,85,57,0,27,56,47,48,0,33,69,63,58
2017-12-30,73,28,67,54,45,29,58,27,0,0,61,41
2017-12-31,56,31,0,17,36,29,46,27,0,0,23,34
2018-01-01,88,23,0,55,45,53,69,39,0,29,28,37
2018-01-02,71,91,0,99,100,65,62,0,33,57,72,85
2018-01-03,64,79,0,72,87,32,52,47,0,0,67,85
2018-01-04,67,88,0,100,69,45,54,24,66,59,72,88
2018-01-05,69,83,51,66,61,55,57,73,64,35,71,89
2018-01-06,72,55,0,46,61,94,68,49,33,84,86,67
2018-01-07,58,23,51,29,94,25,55,20,0,0,34,42
2018-01-08,61,77,95,70,49,70,48,0,61,43,71,77
2018-01-09,55,72,0,85,80,67,60,55,20,0,61,84
2018-01-10,63,80,0,68,73,42,47,65,62,46,74,81
2018-01-11,69,72,0,64,80,49,43,100,0,46,74,86
2018-01-12,64,75,0,44,48,52,53,36,0,0,82,81
