,Trafic TG1,Prévision globale
2020-02-10,29931.0,31588.904296875
2020-02-11,26270.0,26133.609375
2020-02-12,21423.0,22419.78125
2020-02-13,19572.0,22011.728515625
2020-02-14,20060.0,22653.203125
2020-02-17,22150.0,24502.7421875
2020-02-18,23248.0,23874.060546875
2020-02-19,19435.0,21273.91796875
2020-02-20,18661.0,19997.2890625
2020-02-21,17456.0,20091.33203125
2020-02-24,22251.0,23362.08203125
2020-02-25,19819.0,21972.158203125
2020-02-26,18831.0,20701.001953125
2020-02-27,17832.0,20556.14453125
2020-02-28,19179.0,21762.763671875
2020-03-02,28444.0,29534.74609375
2020-03-03,31191.0,30194.08984375
2020-03-04,27320.0,28360.302734375
2020-03-05,23768.0,26023.654296875
2020-03-06,21862.0,22832.3515625
2020-03-09,25496.0,25882.240234375
2020-03-10,26049.0,28645.314453125
2020-03-11,24216.0,25620.75
2020-03-12,21315.0,20711.3359375
2020-03-13,15224.0,20377.1484375
2020-03-16,19662.0,21422.181640625
2020-03-17,15524.0,19115.55859375
2020-03-18,15808.0,18485.283203125
2020-03-19,18512.0,20178.216796875
2020-03-20,12368.0,14770.3583984375
2020-03-23,11073.0,12691.4384765625
2020-03-24,26282.0,22200.826171875
2020-03-25,0.0,23553.4765625
2020-03-26,18935.0,19585.7265625
2020-03-27,31216.0,29528.662109375
2020-03-30,0.0,26765.525390625
2020-03-31,0.0,22741.353515625
2020-04-01,24000.0,25278.158203125
2020-04-02,22907.0,21974.2109375
2020-04-03,27780.0,26944.1640625
2020-04-06,0.0,23942.494140625
2020-04-07,0.0,23992.521484375
2020-04-08,22443.0,21397.033203125
2020-04-09,29894.0,28410.6875
2020-04-10,32055.0,31199.205078125
2020-04-13,0.0,25568.482421875
2020-04-14,19275.0,20968.376953125
2020-04-15,21127.0,21059.578125
2020-04-16,26689.0,27238.744140625
2020-04-17,28763.0,30045.734375
2020-04-20,0.0,35197.68359375
2020-04-21,20659.0,21656.2578125
2020-04-22,24599.0,24966.6953125
2020-04-23,29638.0,30499.583984375
2020-04-24,31334.0,30672.83984375
2020-04-27,27700.0,29038.2265625
2020-04-28,15834.0,18439.455078125
2020-04-29,20403.0,20478.03515625
2020-04-30,28884.0,30300.033203125
2020-05-01,0.0,26156.171875
2020-05-04,19436.0,20199.091796875
2020-05-05,30232.0,28529.1640625
2020-05-06,24151.0,24694.625
2020-05-07,28248.0,28957.234375
2020-05-08,0.0,28140.443359375
2020-05-11,13711.0,17001.37109375
2020-05-12,21945.0,23344.208984375
2020-05-13,16737.0,20009.099609375
2020-05-14,23622.0,25622.970703125
2020-05-15,24348.0,26301.603515625
2020-05-18,14085.0,18910.908203125
2020-05-19,16587.0,17354.390625
2020-05-20,1034.0,1595.6739501953125
2020-05-21,15400.0,17494.1640625
2020-05-22,17437.0,18887.619140625
2020-05-25,1810.0,6398.986328125
2020-05-26,22106.0,21500.84765625
2020-05-27,19287.0,20966.92578125
2020-05-28,18364.0,18628.740234375
2020-05-29,32760.0,27273.61328125
2020-06-01,7612.0,11805.845703125
2020-06-02,13045.0,19069.541015625
2020-06-03,22934.0,26037.4921875
2020-06-04,26425.0,28627.267578125
2020-06-05,25053.0,25665.8671875
2020-06-08,6379.0,13634.9453125
2020-06-09,22419.0,25692.5703125
2020-06-10,29212.0,32139.7890625
2020-06-11,27934.0,30587.236328125
2020-06-12,27108.0,29558.392578125
2020-06-15,23230.0,27262.486328125
2020-06-16,28302.0,31011.279296875
2020-06-17,26398.0,30296.998046875
2020-06-18,25950.0,27285.275390625
2020-06-19,21825.0,22731.88671875
2020-06-22,27206.0,28329.033203125
2020-06-23,27273.000000000004,30491.625
2020-06-24,23914.0,24908.98828125
2020-06-25,22530.0,24111.82421875
2020-06-26,23798.0,26117.341796875
2020-06-29,29943.0,29221.25390625
2020-06-30,26420.0,29139.265625
2020-07-01,27712.0,28155.908203125
2020-07-02,23087.0,27799.712890625
2020-07-03,27878.0,30297.287109375
2020-07-06,24053.0,27972.396484375
2020-07-07,25106.0,25887.7578125
2020-07-08,26453.0,29628.130859375
2020-07-09,27423.0,30518.490234375
2020-07-10,26709.0,28157.0625
2020-07-13,360.0,7253.4892578125
2020-07-14,25010.0,25181.4140625
2020-07-15,35449.0,33332.52734375
2020-07-16,37010.0,34460.53125
2020-07-17,28101.0,28541.234375
2020-07-20,30783.0,29309.140625
2020-07-21,26907.0,27569.080078125
2020-07-22,25364.0,27698.470703125
2020-07-23,20636.0,19186.9140625
2020-07-24,23801.0,27656.75
2020-07-27,26749.0,28677.3515625
2020-07-28,27586.0,29168.34765625
2020-07-29,23558.0,26281.521484375
2020-07-30,22641.0,23307.40234375
2020-07-31,20566.0,23060.1484375
2020-08-03,28743.0,28791.005859375
2020-08-04,33633.0,35062.765625
2020-08-05,38839.0,39010.53515625
2020-08-06,27063.0,30385.083984375
2020-08-07,36350.0,32169.740234375
2020-08-10,29481.0,30059.673828125
2020-08-11,31561.0,32995.75390625
2020-08-12,35935.0,33277.85546875
2020-08-13,22549.0,25219.388671875
2020-08-14,23236.0,24824.208984375
2020-08-17,22504.0,23879.177734375
2020-08-18,23032.0,22819.068359375
2020-08-19,22368.0,23480.9453125
2020-08-20,18276.0,20195.373046875
2020-08-21,19120.0,22615.677734375
2020-08-24,21840.0,23675.748046875
2020-08-25,19920.0,22296.205078125
2020-08-26,20275.0,23391.953125
2020-08-27,15364.0,16706.982421875
2020-08-28,18425.0,19784.546875
2020-08-31,24099.0,26367.62890625
2020-09-01,25126.0,25534.80859375
2020-09-02,27779.0,27650.3203125
2020-09-03,20993.0,22387.453125
2020-09-04,26288.0,26162.0546875
2020-09-07,30771.0,32476.548828125
2020-09-08,25282.0,26038.099609375
2020-09-09,26037.0,25482.78515625
2020-09-10,27507.0,27844.98046875
2020-09-11,27654.0,29580.75390625
2020-09-14,26205.0,26436.640625
2020-09-15,32500.0,30974.05859375
2020-09-16,26010.0,28888.916015625
2020-09-17,22701.0,23606.958984375
2020-09-18,21075.0,24975.9921875
2020-09-21,24937.0,25452.96484375
2020-09-22,29295.0,29271.791015625
2020-09-23,21983.0,22000.357421875
2020-09-24,21162.0,22291.880859375
2020-09-25,22746.0,24848.04296875
2020-09-28,27571.0,29551.298828125
2020-09-29,29296.0,29534.23828125
2020-09-30,27328.0,26212.96875
2020-10-01,34719.0,36631.70703125
2020-10-02,29110.0,30520.140625
2020-10-05,30708.0,30796.62890625
2020-10-06,31684.0,31284.84375
2020-10-07,27997.0,28364.78125
2020-10-08,27419.0,29561.259765625
2020-10-09,21371.0,24551.541015625
2020-10-12,28464.0,29361.244140625
2020-10-13,33499.0,33542.29296875
2020-10-14,23599.0,23514.26171875
2020-10-15,21389.0,20917.509765625
2020-10-16,23542.0,25107.50390625
2020-10-19,25512.0,28194.255859375
2020-10-20,26565.0,26135.33984375
2020-10-21,25285.0,26557.154296875
2020-10-22,21886.0,23286.205078125
2020-10-23,24382.0,25832.681640625
2020-10-26,30662.0,30335.615234375
2020-10-27,27132.0,25138.84765625
2020-10-28,25248.0,24947.681640625
